,ALPHANUMERIC_CODE,STATION_NAME_ENGLISH,STATION_NAME_CHINESE,LINE_ENGLISH,LINE_CHINESE,LINE_COLOR,OPENING_DATE,TRANSPORT_TYPE,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
66,NE6,Dhoby Ghaut,多美歌,North East Line,东北线,Purple,6/20/2003,MRT,DHOBY GHAUT MRT STATION (NE6),60,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NE6),60 ORCHARD ROAD DHOBY GHAUT MRT STATION (NE6) SINGAPORE 238889,238889,29354.40792,31340.25089,1.299704581,103.8454885
67,NE7,Little India,小印度,North East Line,东北线,Purple,6/20/2003,MRT,LITTLE INDIA MRT STATION (NE7),60,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (NE7),60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (NE7) SINGAPORE 229900,229900,29817.20857,32124.85018,1.306800197,103.8496471
68,NE8,Farrer Park,花拉公园,North East Line,东北线,Purple,6/20/2003,MRT,FARRER PARK MRT STATION (NE8),250,RACE COURSE ROAD,FARRER PARK MRT STATION (NE8),250 RACE COURSE ROAD FARRER PARK MRT STATION (NE8) SINGAPORE 218703,218703,30243.52065,32689.37956,1.311905573,103.8534777
69,NE9,Boon Keng,文庆,North East Line,东北线,Purple,6/20/2003,MRT,BOON KENG MRT STATION (NE9),900,SERANGOON ROAD,BOON KENG MRT STATION (NE9),900 SERANGOON ROAD BOON KENG MRT STATION (NE9) SINGAPORE 328260,328260,31144.04501,33510.97461,1.319335709,103.8615695
70,NE10,Potong Pasir,波东巴西,North East Line,东北线,Purple,6/20/2003,MRT,POTONG PASIR MRT STATION (NE10),55,UPPER SERANGOON ROAD,POTONG PASIR MRT STATION (NE10),55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION (NE10) SINGAPORE 347694,347694,31977.16676,34842.7251,1.33137949,103.8690557
71,NE11,Woodleigh,兀里,North East Line,东北线,Purple,6/20/2011,MRT,WOODLEIGH MRT STATION (NE11),400,UPPER SERANGOON ROAD,WOODLEIGH MRT STATION (NE11),400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION (NE11) SINGAPORE 347695,347695,32173.31857,35706.37936,1.339190045,103.8708183
72,NE12,Serangoon,实龙岗,North East Line,东北线,Purple,6/20/2003,MRT,SERANGOON MRT STATION (NE12),600,UPPER SERANGOON ROAD,SERANGOON MRT STATION (NE12),600 UPPER SERANGOON ROAD SERANGOON MRT STATION (NE12) SINGAPORE 534801,534801,32480.07294,36869.39301,1.349707881,103.8735748
73,NE13,Kovan,高文,North East Line,东北线,Purple,6/20/2003,MRT,KOVAN MRT STATION (NE13),900,UPPER SERANGOON ROAD,KOVAN MRT STATION (NE13),900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799,534799,33758.7578,38027.27944,1.360179171,103.8850649
74,NE14,Hougang,后港,North East Line,东北线,Purple,6/20/2003,MRT,HOUGANG MRT STATION (NE14),80,HOUGANG CENTRAL,HOUGANG MRT STATION (NE14),80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758,538758,34572.87525,39256.12828,1.371292266,103.8923805
75,NE15,Buangkok,万国,North East Line,东北线,Purple,1/15/2006,MRT,BUANGKOK MRT STATION (NE15),10,SENGKANG CENTRAL,BUANGKOK MRT STATION (NE15),10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061,545061,34655.42506,40536.34017,1.38287002,103.8931226
76,NE16,Sengkang,盛港,North East Line,东北线,Purple,6/20/2003,MRT,SENGKANG MRT STATION (NE16),5,SENGKANG SQUARE,SENGKANG MRT STATION (NE16),5 SENGKANG SQUARE SENGKANG MRT STATION (NE16) SINGAPORE 545062,545062,34918.27401,41512.12769,1.391694626,103.8954847
77,NE17,Punggol,榜鹅,North East Line,东北线,Purple,6/20/2003,MRT,PUNGGOL MRT STATION (NE17),70,PUNGGOL CENTRAL,PUNGGOL MRT STATION (NE17),70 PUNGGOL CENTRAL PUNGGOL MRT STATION (NE17) SINGAPORE 828868,828868,35651.3828,42933.24827,1.404546537,103.9020726
78,CC1,Dhoby Ghaut,多美歌,Circle Line,环线,Orange,4/17/2010,MRT,DHOBY GHAUT MRT STATION (CC1),13,ORCHARD ROAD,DHOBY GHAUT MRT STATION (CC1),13 ORCHARD ROAD DHOBY GHAUT MRT STATION (CC1) SINGAPORE 238893,238893,29443.88241,31252.57238,1.298911644,103.8462925
79,CC2,Bras Basah,百胜,Circle Line,环线,Orange,4/17/2010,MRT,BRAS BASAH MRT STATION (CC2),65,BRAS BASAH ROAD,BRAS BASAH MRT STATION (CC2),65 BRAS BASAH ROAD BRAS BASAH MRT STATION (CC2) SINGAPORE 189561,189561,29930.76738,31025.9016,1.296861686,103.8506674
80,CC3,Esplanade,滨海中心,Circle Line,环线,Orange,4/17/2010,MRT,ESPLANADE MRT STATION (CC3),90,BRAS BASAH ROAD,ESPLANADE MRT STATION (CC3),90 BRAS BASAH ROAD ESPLANADE MRT STATION (CC3) SINGAPORE 189562,189562,30421.99348,30671.62777,1.293657725,103.8550812
81,CC4,Promenade,宝门廊,Circle Line,环线,Orange,4/17/2010,MRT,PROMENADE MRT STATION (CC4),2,TEMASEK AVENUE,PROMENADE MRT STATION (CC4),2 TEMASEK AVENUE PROMENADE MRT STATION (CC4) SINGAPORE 039193,39193,31008.36188,30709.25781,1.293997986,103.86035
